modelo,mecanica,som_polifonia,customizacao,score_geral,justificativa,priorizado
"Yamaha P-225",84,82,80,82.0,"A nova ação GHC (Graded Hammer Compact) supera a GHS do P-145 em agilidade, mas a ausência de sensores triplos e escapamento (let-off) limita o controle expressivo em passagens virtuosísticas se comparada à PHA-4 da Roland. O motor CFX com VRM Lite oferece ressonância superior ao antecessor, porém a polifonia de 192 notas e a parametrização via Smart Pianist ainda ficam atrás da profundidade do Virtual Technician da Kawai. | Veredito: Risco moderado de 'gasto duplo'. Embora seja um salto significativo sobre o P-145, a falta de sensores triplos pode frustrar o desenvolvimento de técnicas de repetição rápida e legato refinado em alunos AHSD em menos de 24 meses, sugerindo o investimento direto em um Roland FP-30X ou Kawai ES120 para maior longevidade técnica.",True
"Casio PX-S3100",78,82,88,82.0,"Ação compacta com pivot curto limita a execução técnica avançada em teclas pretas, embora a polifonia de 192 notas e a vasta biblioteca de 700 timbres ofereçam versatilidade superior ao P-145. | Veredito: Risco moderado de gasto duplo; a mecânica ultra-compacta pode se tornar um gargalo físico para o desenvolvimento de repertório virtuoso em 18-24 meses para um perfil AHSD.",False
"Korg G1 Air",85,88,70,82.0,"Ação RH3 japonesa de excelente resposta tátil, mas a polifonia de 120 vozes e a baixa profundidade de edição de ressonâncias limitam o teto técnico comparado ao ecossistema Roland/Kawai. | Veredito: Risco moderado de gasto duplo; embora a mecânica suporte o avanço virtuoso, a rigidez do motor sonoro pode frustrar a necessidade de refinamento timbrístico de um perfil AHSD.",False
"Dexibell Vivo S1",65,92,95,81.0,"O motor T2L com amostragem XXL de 15s e polifonia ilimitada é de elite, mas a ação semi-pesada Fatar TP/8P é um gargalo físico para a técnica pianística avançada. | Veredito: Risco de gasto duplo: a fidelidade sonora satisfaz o ouvido absoluto/AHSD, mas a ausência de martelos reais exigirá a troca do instrumento assim que o repertório exigir controle de escape e repetição rápida.",False
"Roland FP-10",86,78,65,78.0,"Equipado com a excelente ação PHA-4 (mesma do FP-30X), oferece escapamento e sensores triplos, porém a polifonia de 96 notas e a interface minimalista criam um teto técnico precoce para o processamento AHSD. | Veredito: Risco moderado de gasto duplo. A mecânica sustenta o aprendizado técnico, mas a limitação de polifonia exigirá upgrade para obras de alta complexidade harmônica e uso intensivo de pedal sustain.",True
"Pearl River V03",82,80,70,78.0,"Equipado com ação italiana Fatar e polifonia de 192 notas, supera o gargalo técnico do P-145, mas carece da modelagem harmônica e profundidade de edição presentes no ecossistema Kawai/Nux. | Veredito: Risco moderado de gasto duplo; a mecânica é honesta para o início, mas a ausência de um 'Virtual Technician' robusto limitará a exploração tímbrica de um usuário AHSD em curto prazo.",False
"Kurzweil KA-120",75,78,85,78.0,"Ação pesada padrão com polifonia de 128 notas; embora versátil em timbres, carece da resolução harmônica e sensores triplos necessários para o desenvolvimento técnico acelerado de um perfil AHSD. | Veredito: Risco moderado de gasto duplo. O teto técnico de 128 notas e a ausência de sensores triplos podem exigir um upgrade em menos de 24 meses para usuários de aprendizado rápido.",True
"Nux NPK-10",78,75,70,75.0,"Ação WKJ-03 com sensor triplo oferece resposta tátil superior ao Yamaha P-145, mas a polifonia de 189 notas e a ausência do EQ profundo do NPK-20 limitam a exploração tímbrica avançada. | Veredito: Risco moderado de gasto duplo; para o perfil AHSD, a economia imediata não compensa a perda de teto técnico em parametrização comparado ao NPK-20 ou à fidelidade do FP-30X.",False
"Casio CDP-S360",70,75,85,75.0,"Apresenta evolução significativa em polifonia (128 notas) comparado ao S110, mas a mecânica Scaled Hammer Action II mantém o pivot curto, limitando a alavanca nas teclas pretas e o controle dinâmico exigido por usuários AHSD. | Veredito: Risco de gasto duplo em curto prazo; a versatilidade de timbres não compensa a limitação física da ação para um aluno de progressão acelerada, sendo preferível investir diretamente em modelos com sensores triplos.",False
"Medeli DP260",75,72,68,72.0,"Ação K8 com peso graduado e polifonia de 128 notas oferecem uma base superior ao CDP-S110, porém a ausência de sensores triplos e de modelagem de ressonância simpática cria um teto sensorial baixo para o processamento AHSD. | Veredito: Risco elevado de gasto duplo; a curva de aprendizado acelerada de um perfil AHSD resultará em frustração com a falta de nuances mecânicas e harmônicas em menos de 18 meses.",False
"Korg B2",74,76,55,70.0,"Ação NH e polifonia de 120 notas superam o Yamaha P-145 em teto técnico, mas a ausência de sensores triplos e a baixa profundidade de edição limitam o refinamento expressivo exigido por perfis AHSD. | Veredito: Risco moderado de gasto duplo; embora superior aos modelos ultra-portáteis de entrada, a falta de ressonância simpática avançada e pivot curto resultará em obsolescência técnica precoce para o aprendizado acelerado.",False
"Yamaha P-145",72,65,60,67.0,"Ação GHC e polifonia de 64 notas representam um teto técnico baixo; a ausência de ressonância simpática avançada e sensores duplos limita a expressão em peças complexas detectáveis por ouvidos AHSD. | Veredito: Não recomendado para AHSD; o baixo teto de polifonia e mecânica simplificada exigirão upgrade em menos de 12 meses, resultando em gasto duplo inevitável.",False
"Casio CDP-S110",65,68,40,60.0,"Mecânica simplificada com pivot curto e polifonia de 64 notas que limitam a expressão em peças complexas, frustrando o processamento sensorial AHSD. | Veredito: Risco altíssimo de gasto duplo; o teto técnico é atingido rapidamente por alunos superdotados, exigindo substituição precoce por falta de recursos expressivos.",False
"Donner DDP-80",68,62,20,54.0,"Ação de martelo básica sem sensores triplos ou escapamento, com polifonia de 128 notas que atende ao básico, mas carece da modelagem de ressonância encontrada no Kawai ES120. | Veredito: Não recomendado para AHSD; o design focado em mobiliário sacrifica a profundidade paramétrica e a precisão mecânica, resultando em obsolescência técnica precoce para alunos de evolução rápida.",False
"PIANO DIGITAL KURZWEIL KAE1",75,78,70,74.65,"Ação H1 Ivory honesta, mas sem sensores triplos; polifonia de 128 notas atende o básico, porém o motor KORE 1.0 carece da profundidade harmônica exigida por perfis AHSD. | Veredito: Risco moderado de gasto duplo; embora superior ao P-145, um aluno AHSD atingirá o teto técnico do KAE1 em menos de 18 meses, tornando o FP-30X ou ES120 investimentos mais seguros.",False
"Donner DDP-80",70,70,45,63.75,"Ação de martelo básica sem sensores triplos e polifonia de 128 notas no limite inferior; a ausência quase total de parametrização sonora (Virtual Technician/EQ) cria um teto técnico baixo para o processamento sensorial AHSD. | Veredito: Risco crítico de gasto duplo. O foco no design de mobiliário sacrifica a profundidade de edição e a resposta mecânica, tornando-o obsoleto para um aluno superdotado em menos de 12 meses de estudo intensivo.",False
"PIANO DIGITAL KURZWEIL KAS1",45,68,55,54.4,"A utilização de teclas semi-pesadas em vez de ação de martelo (Hammer Action) torna o modelo tecnicamente inferior ao Casio CDP-S110, impossibilitando o desenvolvimento de controle dinâmico e memória muscular exigidos por usuários AHSD. | Veredito: Risco altíssimo de gasto duplo. A ausência de mecânica de piano real frustrará a evolução de um aluno de aprendizado rápido em poucas semanas, exigindo um upgrade imediato para modelos com ação de martelo.",False
"KIT PIANO YAMAHA P45",70,64,55,64.45,"Ação GHS de sensor duplo e polifonia limitada a 64 notas criam um gargalo técnico severo para o processamento de texturas complexas e pedalização avançada, sendo inferior ao P-145. | Veredito: Alto risco de 'gasto duplo'; a saturação do hardware ocorrerá rapidamente devido à incapacidade de sustentar o repertório erudito avançado que usuários AHSD costumam atingir em curto prazo.",False
"PIANO DIGITAL CASIO CDP-S160",66,66,45,60.75,"Apresenta o mesmo chassi compacto da linha CDP-S com pivot curto e polifonia de 64 notas, o que limita a execução de repertórios complexos e o desenvolvimento da técnica de legato em usuários AHSD. | Veredito: Risco crítico de gasto duplo. O teto técnico de 64 notas de polifonia e a ausência de sensores triplos forçarão um upgrade em menos de 12 meses para alunos de aprendizado acelerado.",False
"PIANO DIGITAL 88 TECLAS (GENÉRICO/USB-C)",62,60,45,57.15,"A alimentação via USB-C e a descrição genérica indicam um hardware de entrada com pivot curto e ausência de sensores triplos, apresentando desempenho inferior ao Casio CDP-S110 e Yamaha P-145. | Veredito: Não recomendado para AHSD. O teto técnico é extremamente baixo, resultando em 'gasto duplo' inevitável em menos de 6 meses devido à saturação da capacidade de processamento sensorial e mecânico do aluno.",False
"PIANO DIGITAL SPRING PD-188",68,70,50,64.1,"Apresenta mecânica de martelo básica sem sensores triplos ou escapamento, situando-se tecnicamente entre o Casio CDP-S110 e o Yamaha P-145. A polifonia de 128 notas é aceitável, mas a ausência de modelagem de ressonância simpática limita a imersão para ouvidos com alta sensibilidade sensorial. | Veredito: Alto risco de gasto duplo. Para um perfil AHSD, a falta de nuances na resposta tátil e a baixa profundidade de parametrização causarão estagnação técnica precoce. Recomenda-se investir diretamente em modelos como o Roland FP-30X ou Nux NPK-20.",False
"PIANO DIGITAL MIZUTANI SAKURA",68,65,45,61.35,"Mecânica de entrada com pivot curto e polifonia limitada, similar ao patamar do Casio CDP-S110, carecendo de sensores triplos e modelagem de ressonância complexa necessária para processamento sensorial AHSD. | Veredito: Alto risco de gasto duplo; o teto técnico limitado deste modelo será atingido em poucos meses por um aluno de aprendizado rápido, exigindo substituição precoce por falta de expressividade.",False
"PIANO DIGITAL STAGE DIGITAL",68,70,50,64.1,"Apresenta mecânica de entrada com pivot curto e motor sonoro genérico sem modelagem de ressonância simpática, situando-se tecnicamente entre o Casio CDP-S110 e o Yamaha P-145, insuficiente para o processamento sensorial AHSD. | Veredito: Risco crítico de gasto duplo; a ausência de sensores triplos e a baixa profundidade de parametrização criarão um gargalo técnico para o aluno de aprendizado rápido em menos de 12 meses.",False
"Casio Privia PX-770",78,75,70,75.1,"Ação Tri-Sensor II superior à linha CDP, mas a polifonia de 128 notas e o motor AiR básico limitam a ressonância simpática em peças de alta complexidade harmônica. | Veredito: Risco moderado de gasto duplo; o teto técnico de 128 notas de polifonia será atingido rapidamente por um perfil AHSD, exigindo upgrade para modelos com polifonia de 256 ou ilimitada em curto prazo.",False
"PIANO DIGITAL MIZUTANI SUGI",68,70,50,64.1,"Mecânica de entrada com pivot curto e ausência de sensores triplos; motor sonoro básico com ressonância limitada, insuficiente para o processamento auditivo complexo de usuários AHSD. | Veredito: Risco crítico de gasto duplo; a curva de aprendizado acelerada de um aluno AHSD tornará as limitações de expressividade e o teto técnico deste modelo obsoletos em menos de um ano.",False
"PIANO DIGITAL SPRING VERSI",68,65,55,63.85,"Mecânica de entrada com pivot curto e motor sonoro focado em variedade de ritmos em detrimento da profundidade harmônica, assemelhando-se ao patamar do Casio CDP-S110. | Veredito: Não recomendado para AHSD; o teto técnico limitado provocará 'gasto duplo' precoce, pois a sensibilidade tátil e auditiva do usuário exigirá um upgrade para a linha Roland FP ou Kawai ES em curto prazo.",False
"Casio CDP-S160RD",66,65,45,60.45,"Embora apresente suporte a pedal triplo e gravação MIDI, a polifonia de 64 notas e o pivot curto da ação Scaled Hammer II mantêm o instrumento no patamar de entrada, insuficiente para o processamento de texturas complexas exigidas por perfis AHSD. | Veredito: Risco crítico de gasto duplo. A curva de aprendizado acelerada de um usuário AHSD resultará em saturação técnica e frustração com a polifonia limitada em menos de 12 meses, tornando o investimento ineficiente a médio prazo.",False
"PIANO CASIO CDP-S90BKC2-BR STAGE",65,66,42,59.55,"Mantém as limitações da linha de entrada CDP-S, com polifonia de 64 notas e pivot curto, resultando em um teto técnico que subestima a velocidade de aprendizado AHSD. | Veredito: Alto risco de gasto duplo; a mecânica simplificada e a baixa polifonia frustrarão o desenvolvimento de dinâmicas complexas em menos de um ano de estudo.",False
"PIANO DIGITAL KURZWEIL PC4-7",75,95,98,86.75,"Embora a ação semi-pesada com aftertouch seja inferior à PHA-50 da Roland para técnica erudita, a polifonia de 256 notas e a arquitetura V.A.S.T. oferecem uma profundidade de síntese e processamento harmônico que desafia o teto cognitivo de usuários AHSD. | Veredito: Risco moderado de gasto duplo: a mecânica não substitui um piano acústico para evolução técnica rápida, mas o motor sonoro é um 'end-game' para produção e exploração sonora complexa.",False
"PIANO 88 TECLAS MARTELO (GENÉRICO)",68,65,45,61.35,"Hardware de entrada com pivot curto e motor sonoro baseado em samples estáticos; a ausência de sensores triplos e modelagem de ressonância limita a expressividade exigida por perfis AHSD. | Veredito: Alto risco de gasto duplo. A resposta mecânica simplificada e o teto técnico reduzido serão superados pelo aluno em poucos meses, exigindo um upgrade precoce para modelos como FP-30X ou ES120.",False
"PIANO DIGITAL TECLAS PESADAS (Digital Acordes)",55,58,35,50.9,"Mecânica genérica com pivot curto e polifonia limitada, apresentando desempenho técnico e sensorial inferior até mesmo ao modelo de entrada Casio CDP-S110. | Veredito: Risco crítico de gasto duplo; o teto técnico extremamente baixo será atingido em poucos meses por um perfil AHSD, exigindo substituição imediata por um Roland ou Kawai.",False
"PIANO DIGITAL BULARA PB100",38,45,30,38.1,"A utilização de teclas semi-pesadas sem mecanismo de martelo real e a ausência de sensores triplos posicionam este modelo abaixo do nível de entrada técnico (CDP-S110), sendo incapaz de sustentar o desenvolvimento de dinâmica e controle de repetição exigidos por perfis AHSD. | Veredito: Gasto duplo iminente. A carência de resistência mecânica e o teto de polifonia reduzido frustrarão o aprendizado acelerado em poucas semanas, tornando-o um investimento ineficiente para quem busca proficiência técnica.",False
"PIANO DIGITAL KURZWEIL STAGE",78,75,72,75.6,"Ação de martelo padrão com polifonia de 128 notas; embora superior ao Yamaha P-145, carece da resolução de sensores triplos e da modelagem de ressonância simpática avançada presente nos modelos Roland e Kawai. | Veredito: Risco moderado de gasto duplo. A polifonia de 128 notas é o limite mínimo aceitável; usuários AHSD tendem a saturar esse teto técnico em menos de 18 meses ao avançar para peças com uso intensivo de pedal e texturas densas.",False
"PIANO DIGITAL BULARA PB110",45,50,35,44.0,"Teclas semi-pesadas e ausência de mecanismo de martelo real (Hammer Action) tornam o modelo tecnicamente obsoleto para o processamento motor refinado de um usuário AHSD, situando-se abaixo do patamar mínimo do Casio CDP-S110. | Veredito: Risco crítico de 'gasto duplo'. A falta de resistência mecânica e o pivot curto impedem o desenvolvimento da técnica de legato e controle de dinâmica, exigindo a substituição do instrumento em poucos meses de estudo.",False
"PIANO DIGITAL TECLAS PESADAS (Digital Acordes)",58,60,35,52.85,"Mecânica de entrada com pivot curto e ausência de sensores triplos; motor sonoro genérico com polifonia limitada e sem modelagem de ressonância, situando-se abaixo do Casio CDP-S110. | Veredito: Risco crítico de gasto duplo. A baixa fidelidade tátil e a ausência de nuances harmônicas frustrarão a curva de aprendizado acelerada de um perfil AHSD em poucos meses, exigindo upgrade imediato.",False
"KIT KURZWEIL PIANO DIGITAL KAE1",78,75,65,73.85,"Ação H1 Ivory e polifonia de 128 notas superam o Yamaha P-145, mas a ausência de sensores triplos e parametrização limitada restringe o teto técnico para usuários AHSD. | Veredito: Risco moderado de gasto duplo; a evolução técnica acelerada de um superdotado exigirá polifonia de 256+ e ação com escapamento (let-off) em menos de 24 meses.",False
"KIT KURZWEIL PIANO DIGITAL KAE1",75,78,70,74.65,"Ação H1 Ivory oferece peso realista, mas a polifonia de 128 notas e a ausência de sensores triplos colocam-no acima do P-145, porém abaixo do teto técnico exigido por perfis AHSD presentes no FP-30X. | Veredito: Risco moderado de gasto duplo. Embora superior aos modelos de entrada da Yamaha/Casio, a evolução rápida de um aluno AHSD demandará sensores triplos e maior ressonância harmônica em curto prazo.",False
"PIANO STAGE DIGITAL CASIO CDP-S160",68,66,45,61.65,"Ação de pivot curto e polifonia limitada a 64 notas criam um gargalo de processamento e execução, similar ao P-145, insuficiente para o desenvolvimento de dinâmicas complexas exigidas por perfis AHSD. | Veredito: Alto risco de gasto duplo; a evolução técnica de um aluno superdotado superará os limites físicos e sonoros deste hardware em menos de 12 meses, exigindo nova aquisição.",False
"PIANO DIGITAL 88 TECLAS (GENÉRICO/MÓVEL)",62,64,45,58.35,"Mecânica genérica com pivot curto e ausência de modelagem de ressonância simpática, situando-se abaixo do Yamaha P-145 e limitando a expressividade necessária para o processamento sensorial AHSD. | Veredito: Risco crítico de gasto duplo; a curva de aprendizado acelerada de um aluno AHSD superará as limitações táteis e sonoras deste hardware em poucos meses, tornando o investimento obsoleto precocemente.",False
"PIANO DIGITAL ACORDES USB",68,65,45,61.35,"Mecânica genérica com pivot curto e motor sonoro básico sem modelagem de ressonância, situando-se tecnicamente abaixo do Yamaha P-145 e próximo ao Casio CDP-S110. | Veredito: Alto risco de 'gasto duplo'; a ausência de sensores triplos e a polifonia limitada frustrarão a curva de aprendizado acelerada de um usuário AHSD em poucos meses.",False
"PIANO DIGITAL MEDELI SP201 PLUS",75,78,70,74.65,"Apresenta polifonia de 192 notas superior ao Yamaha P-145, porém a ação K6 carece de sensores triplos e escapamento, resultando em um teto dinâmico inferior ao Roland FP-30X. | Veredito: Risco moderado de gasto duplo; a polifonia sustenta o aprendizado inicial, mas a limitação mecânica do sensor duplo frustrará a evolução técnica de um aluno AHSD em menos de 24 meses.",False
"Spring PD-188",42,50,30,41.4,"Teclas semi-pesadas sem ação de martelo real e motor sonoro genérico com polifonia limitada, situando-se abaixo do patamar de entrada da Casio e Yamaha. | Veredito: Evite o investimento. O teto técnico é extremamente baixo para o perfil AHSD; a ausência de sensores triplos e pivot real causará frustração e vício de técnica em poucas semanas, forçando um gasto duplo imediato.",False
"PIANO DIGITAL ACORDES (MÓVEL)",60,62,45,56.85,"Mecânica genérica de entrada com pivot curto e ausência de sensores triplos, resultando em uma resposta tátil inferior ao Casio CDP-S110 e motor sonoro sem modelagem de ressonância simpática. | Veredito: Não recomendado para AHSD; o teto técnico extremamente baixo provocará o 'gasto duplo' em menos de 12 meses devido à incapacidade do instrumento em traduzir dinâmicas complexas.",False
"Yamaha CLP-765GP (Móvel Cauda)",90,94,85,89.95,"Ação GrandTouch-S com escapamento e modelagem VRM (Virtual Resonance Modeling), oferecendo resposta tátil e harmônica muito superior à linha de entrada P-145, aproximando-se da fidelidade do FP-90X. | Veredito: Investimento definitivo para AHSD; a estrutura física de cauda e o motor sonoro de 256 notas eliminam o risco de 'gasto duplo', suportando repertórios de alta complexidade técnica e dinâmica.",False
"PIANO STAGE DIGITAL CASIO CDP-S160",68,66,45,61.65,"Ação de martelo simplificada com pivot curto e polifonia de 64 notas, criando um teto técnico restritivo que limita a execução de repertório erudito complexo e o processamento sensorial AHSD. | Veredito: Alto risco de gasto duplo; a evolução rápida do aluno AHSD saturará a capacidade mecânica e sonora do instrumento em menos de 12 meses, tornando o upgrade inevitável.",False
"PIANO DIGITAL YAMAHA P-35",68,45,40,54.1,"A polifonia de apenas 32 notas e a ação GHS de sensor duplo representam um gargalo técnico severo, sendo inferior até mesmo ao P-145 e insuficiente para o processamento de informações de um perfil AHSD. | Veredito: Risco altíssimo de gasto duplo; o teto técnico do instrumento será atingido em poucos meses por um aluno de aprendizado rápido, exigindo substituição imediata por falta de sustentação harmônica.",False
"PIANO DIGITAL CASIO PX-560M",84,86,98,88.1,"Ação Tri-Sensor II com texturas de ébano/marfim e polifonia de 256 notas; destaca-se pela arquitetura de síntese Hex Layer e interface touch, oferecendo uma profundidade de parametrização superior ao NPK-20. | Veredito: Altamente recomendado para usuários AHSD que demandam exploração sonora além do piano acústico; evita o gasto duplo ao unir um motor de síntese avançado a uma mecânica competente para estudos de nível intermediário-avançado.",False
"Pearl River P-60",84,78,65,77.45,"Utiliza ação italiana Fatar de boa resposta tátil, superando o Yamaha P-145, mas a polifonia de 128 notas e a ausência de modelagem de ressonância simpática profunda criam um teto técnico inferior ao Roland FP-30X. | Veredito: Risco moderado de gasto duplo. A mecânica sustenta o aprendizado inicial, mas a limitação do motor sonoro e a baixa parametrização frustrarão o desenvolvimento de nuances expressivas em usuários AHSD em curto prazo.",False
"PIANO DIGITAL DE 88 (GENÉRICO)",62,65,35,56.15,"A ausência de sensores triplos e polifonia expandida coloca este modelo abaixo do Yamaha P-145, oferecendo uma resposta tátil linear que limita a expressividade em peças complexas. | Veredito: Alto risco de gasto duplo; a baixa fidelidade mecânica e falta de parametrização frustrarão um usuário AHSD em poucos meses, exigindo upgrade imediato para modelos como FP-30X ou ES120.",False
"TECLADO DE PIANO COM (Genérico/White-label)",55,50,35,48.5,"Especificações genéricas indicam ausência de sensores triplos e modelagem de ressonância; performance inferior ao Casio CDP-S110, com pivot curto e amostragem estática. | Veredito: Risco crítico de gasto duplo. A limitação tátil e a baixa polifonia atuarão como gargalos sensoriais para um perfil AHSD, exigindo substituição em poucos meses de estudo.",False
"PIANO DIGITAL DE 88 (GENÉRICO 5V)",58,55,35,51.35,"Arquitetura genérica com alimentação de 5V e amostragem básica; a ausência de sensores triplos e polifonia reduzida cria um gargalo sensorial imediato para usuários AHSD. | Veredito: Não recomendado para AHSD. O baixo teto técnico resultará em 'gasto duplo' em poucos meses. Recomenda-se investir no mínimo em um Roland FP-30X ou Kawai ES120 para garantir longevidade técnica.",False
"PIANO DIGITAL DE 88 (GENÉRICO 5V/MP3)",55,52,30,51.35,"Arquitetura eletrônica de 5V e suporte MP3 sugerem um hardware de entrada com processamento limitado, inferior ao Casio CDP-S110. A ausência de sensores triplos e modelagem de ressonância cria um 'teto técnico' extremamente baixo para usuários AHSD. | Veredito: Risco crítico de gasto duplo. A evolução técnica de um aluno superdotado superará as limitações de pivot e polifonia deste modelo em menos de 3 meses, exigindo um novo investimento imediato.",False
"PIANO DIGITAL DE 88 (GENÉRICO 5V)",58,55,30,50.1,"A alimentação de 5V e a descrição genérica sugerem um hardware de entrada com sensores duplos simples e pivot curto, situando-se abaixo do Yamaha P-145 em fidelidade dinâmica. | Veredito: Alto risco de gasto duplo. A baixa resolução tátil e a ausência de modelagem harmônica frustrarão a curva de aprendizado acelerada de um perfil AHSD em poucos meses.",False
"Kurzweil KAE1",78,80,75,77.85,"Ação H1 Ivory com peso balanceado, porém a polifonia de 128 notas e a ausência de sensores triplos situam o modelo abaixo do teto técnico de Roland e Kawai. | Veredito: Risco moderado de gasto duplo. Embora superior aos modelos de entrada da Yamaha e Casio, a falta de escapamento e ressonância simpática avançada limitará o desenvolvimento de nuances em alunos AHSD em curto prazo.",False
